Name,Phase,Transition type,transition_temp,SMILES,Refs
5-7,FN,4,44.0,CCCCCCCOc1cc(OC)ccc1C(=O)Oc1ccc(C(=O)Oc2ccc([N+](=O)[O-])cc2)cc1,Cruickshank 2022
5-8,FN,4,44.0,CCCCCCCCOc1cc(OC)ccc1C(=O)Oc1ccc(C(=O)Oc2ccc([N+](=O)[O-])cc2)cc1,Cruickshank 2022
5-9,FN,4,42.0,CCCCCCCCCOc1cc(OC)ccc1C(=O)Oc1ccc(C(=O)Oc2ccc([N+](=O)[O-])cc2)cc1,Cruickshank 2022
6-1,FN,4,138.0,COc1ccc(C(=O)Oc2ccc(C(=O)Oc3ccc([N+](=O)[O-])c(F)c3)cc2)c(OC)c1,Cruickshank 2022
6-2,N,2,109.0,CCOc1cc(OC)ccc1C(=O)Oc1ccc(C(=O)Oc2ccc([N+](=O)[O-])c(F)c2)cc1,Cruickshank 2022
6-3,N,2,88.0,CCCOc1cc(OC)ccc1C(=O)Oc1ccc(C(=O)Oc2ccc([N+](=O)[O-])c(F)c2)cc1,Cruickshank 2022
6-4,N,2,69.0,CCCCOc1cc(OC)ccc1C(=O)Oc1ccc(C(=O)Oc2ccc([N+](=O)[O-])c(F)c2)cc1,Cruickshank 2022
6-5,N,2,56.0,CCCCCOc1cc(OC)ccc1C(=O)Oc1ccc(C(=O)Oc2ccc([N+](=O)[O-])c(F)c2)cc1,Cruickshank 2022
6-6,N,2,48.0,CCCCCCOc1cc(OC)ccc1C(=O)Oc1ccc(C(=O)Oc2ccc([N+](=O)[O-])c(F)c2)cc1,Cruickshank 2022
6-7,N,2,47.0,CCCCCCCOc1cc(OC)ccc1C(=O)Oc1ccc(C(=O)Oc2ccc([N+](=O)[O-])c(F)c2)cc1,Cruickshank 2022
6-8,N,2,48.0,CCCCCCCCOc1cc(OC)ccc1C(=O)Oc1ccc(C(=O)Oc2ccc([N+](=O)[O-])c(F)c2)cc1,Cruickshank 2022
6-9,N,2,46.0,CCCCCCCCCOc1cc(OC)ccc1C(=O)Oc1ccc(C(=O)Oc2ccc([N+](=O)[O-])c(F)c2)cc1,Cruickshank 2022
UUQU-4-N,N,2,19.6,CCCCc1cc(F)c(-c2cc(F)c(C(F)(F)Oc3cc(F)c(C#N)c(F)c3)c(F)c2)c(F)c1,Manabe 2021
3JK,FN,5,86.8,CCCC1COC(c2cc(F)c(C(=O)Oc3cc(F)c(C(F)(F)Oc4cc(F)c(F)c(F)c4)c(F)c3)c(F)c2)OC1,Karcz 2023
NT3-1,FN,4,126.0,COc1ccc(C(=O)Oc2ccc(C(=O)Oc3ccc([N+](=O)[O-])cc3)c(OC)c2)cc1,Tufaha 2023
NT3-2,FN,4,104.0,CCOc1cc(OC(=O)c2ccc(OC)cc2)ccc1C(=O)Oc1ccc([N+](=O)[O-])cc1,Tufaha 2023
NT3-3,FN,4,93.0,CCCOc1cc(OC(=O)c2ccc(OC)cc2)ccc1C(=O)Oc1ccc([N+](=O)[O-])cc1,Tufaha 2023
NT3-4,FN,4,76.0,CCCCOc1cc(OC(=O)c2ccc(OC)cc2)ccc1C(=O)Oc1ccc([N+](=O)[O-])cc1,Tufaha 2023
NT3-5,FN,4,61.0,CCCCCOc1cc(OC(=O)c2ccc(OC)cc2)ccc1C(=O)Oc1ccc([N+](=O)[O-])cc1,Tufaha 2023
NT3-6,FN,4,53.0,CCCCCCOc1cc(OC(=O)c2ccc(OC)cc2)ccc1C(=O)Oc1ccc([N+](=O)[O-])cc1,Tufaha 2023
NT3-7,FN,4,51.0,CCCCCCCOc1cc(OC(=O)c2ccc(OC)cc2)ccc1C(=O)Oc1ccc([N+](=O)[O-])cc1,Tufaha 2023
NT3F-1,FN,4,141.0,COc1ccc(C(=O)Oc2ccc(C(=O)Oc3ccc([N+](=O)[O-])c(F)c3)c(OC)c2)cc1,Tufaha 2023
NT3F-2,N,2,118.0,CCOc1cc(OC(=O)c2ccc(OC)cc2)ccc1C(=O)Oc1ccc([N+](=O)[O-])c(F)c1,Tufaha 2023
NT3F-3,N,2,92.0,CCCOc1cc(OC(=O)c2ccc(OC)cc2)ccc1C(=O)Oc1ccc([N+](=O)[O-])c(F)c1,Tufaha 2023
NT3F-4,N,2,79.0,CCCCOc1cc(OC(=O)c2ccc(OC)cc2)ccc1C(=O)Oc1ccc([N+](=O)[O-])c(F)c1,Tufaha 2023
NT3F-5,N,2,68.0,CCCCCOc1cc(OC(=O)c2ccc(OC)cc2)ccc1C(=O)Oc1ccc([N+](=O)[O-])c(F)c1,Tufaha 2023
NT3F-6,N,2,58.0,CCCCCCOc1cc(OC(=O)c2ccc(OC)cc2)ccc1C(=O)Oc1ccc([N+](=O)[O-])c(F)c1,Tufaha 2023
NT3F-7,N,2,55.0,CCCCCCCOc1cc(OC(=O)c2ccc(OC)cc2)ccc1C(=O)Oc1ccc([N+](=O)[O-])c(F)c1,Tufaha 2023
Sulfur-2,FN,5,105.8,COc1cc(SC)ccc1C(=O)Oc1ccc(C(=O)Oc2ccc([N+](=O)[O-])cc2)cc1,Arakawa 2024
Sulfur-7,FN,4,106.0,COc1ccc(C(=O)Oc2ccc(C(=O)Sc3ccc([N+](=O)[O-])cc3)cc2)c(OC)c1,Arakawa 2024
Sulfur-12,N,2,122.0,CSc1ccccc1C(=O)Oc1ccc(C(=O)Oc2ccc([N+](=O)[O-])cc2)cc1,Arakawa 2024
Sulfur-13,N,2,96.0,COc1ccccc1C(=O)Oc1ccc(C(=O)Oc2ccc([N+](=O)[O-])cc2)cc1,Arakawa 2024
Sulfur-14,FN,5,162.2,Cc1ccc(C(=O)Oc2ccc(C(=O)Oc3ccc([N+](=O)[O-])cc3)cc2)s1,Arakawa 2024
Sulfur-15,FN,5,161.1,COc1ccc(C(=O)Oc2ccc(C(=O)Oc3ccc([N+](=O)[O-])cc3)cc2)s1,Arakawa 2024
Sulfur-18,N,2,162.4,COc1ccsc1C(=O)Oc1ccc(C(=O)Oc2ccc([N+](=O)[O-])cc2)cc1,Arakawa 2024
Sulfur-19,N,2,210.5,O=C(Oc1ccc([N+](=O)[O-])cc1)c1ccc(OC(=O)c2cccs2)cc1,Arakawa 2024
DIO-1,FN,5,69.0,CCCC1COC(c2cc(F)c(C(=O)Oc3ccc(-c4cc(F)c(F)c(F)c4)c(F)c3)c(F)c2)OC1,Matsukizono 2024
DIO-2,FN,5,65.0,CCCC1COC(c2cc(F)c(C(=O)Oc3ccc(-c4cc(F)c(C#N)c(F)c4)c(F)c3)c(F)c2)OC1,Matsukizono 2024
DIO-3,FN,5,96.0,CCCC1COC(c2cc(F)c(C(=O)Oc3ccc(-c4cc(F)c([N+](=O)[O-])c(F)c4)c(F)c3)c(F)c2)OC1,Matsukizono 2024
EST-1,FN,4,89.0,CCCC(=O)Oc1cc(F)c(C(=O)Oc2ccc(-c3cc(F)c(F)c(F)c3)c(F)c2)c(F)c1,Matsukizono 2024
EST-2,FN,5,98.0,CCCC(=O)Oc1cc(F)c(C(=O)Oc2ccc(-c3cc(F)c(C#N)c(F)c3)c(F)c2)c(F)c1,Matsukizono 2024
EST-3,FN,5,104.0,CCCC(=O)Oc1cc(F)c(C(=O)Oc2ccc(-c3cc(F)c([N+](=O)[O-])c(F)c3)c(F)c2)c(F)c1,Matsukizono 2024
EST-4,FN,4,116.0,CCCC(=O)Oc1ccc(C(=O)Oc2ccc(-c3cc(F)c(F)c(F)c3)c(F)c2)cc1,Matsukizono 2024
3CN,FN,5,156.2,CCCc1ccc(C(=O)Oc2ccc(C(=O)Oc3cc(F)c(C#N)c(F)c3)c(F)c2)cc1,Mrukiewicz 2024
S2,FN,4,122.0,COc1cc(SC)ccc1C(=O)Oc1ccc(C(=O)Oc2ccc([N+](=O)[O-])c(F)c2)cc1,Stepanafas 2024
S3,FN,4,126.0,COc1cc(SC)ccc1C(=O)Oc1ccc(C(=O)Oc2ccc([N+](=O)[O-])cc2)c(F)c1,Stepanafas 2024
S4,N,2,129.0,COc1cc(SC)ccc1C(=O)Oc1ccc(C(=O)Oc2ccc([N+](=O)[O-])c(F)c2)c(F)c1,Stepanafas 2024
S5,FN,4,121.0,COc1cc(SC)ccc1C(=O)Oc1cc(F)c(C(=O)Oc2ccc([N+](=O)[O-])cc2)c(F)c1,Stepanafas 2024
S6,N,2,122.0,COc1cc(SC)ccc1C(=O)Oc1cc(F)c(C(=O)Oc2ccc([N+](=O)[O-])c(F)c2)c(F)c1,Stepanafas 2024
S7,N,2,172.0,COc1cc(OC(=O)c2ccc(SC)cc2)ccc1C(=O)Oc1ccc([N+](=O)[O-])cc1,Stepanafas 2024
S8,FN,4,124.0,COc1cc(OC(=O)c2ccc(SC)cc2)ccc1C(=O)Oc1ccc([N+](=O)[O-])c(F)c1,Stepanafas 2024
O5,FN,4,132.0,COc1ccc(C(=O)Oc2cc(F)c(C(=O)Oc3ccc([N+](=O)[O-])cc3)c(F)c2)c(OC)c1,Stepanafas 2024
O6,N,2,131.0,COc1ccc(C(=O)Oc2cc(F)c(C(=O)Oc3ccc([N+](=O)[O-])c(F)c3)c(F)c2)c(OC)c1,Stepanafas 2024
2-2-Z2,N,2,133.5,CCCc1cc(F)c(C(=O)Oc2cc(F)c(-c3cc(F)c(C#N)c(F)c3)c(F)c2)c(F)c1,Stepanafas 2024
2-2-Z1,N,2,145.4,CCCc1ccc(C(=O)Oc2cc(F)c(-c3cc(F)c(C#N)c(F)c3)c(F)c2)c(F)c1,Stepanafas 2024
2-2-Z0,FN,4,133.2,CCCc1ccc(C(=O)Oc2cc(F)c(-c3cc(F)c(C#N)c(F)c3)c(F)c2)cc1,Stepanafas 2024
1-2-Z2,FN,4,104.3,CCCc1cc(F)c(C(=O)Oc2cc(F)c(-c3ccc(C#N)c(F)c3)c(F)c2)c(F)c1,Stepanafas 2024
1-2-Z1,FN,4,115.5,CCCc1ccc(C(=O)Oc2cc(F)c(-c3ccc(C#N)c(F)c3)c(F)c2)c(F)c1,Stepanafas 2024
SCUT1a,FN,5,187.3,CCCC1COC(c2cc(F)c(-c3cc(F)c(-c4cc(F)c(C#N)c(F)c4)c(F)c3)c(F)c2)OC1,Song 2025
SCUT1b,FN,5,37.3,CCCC1COC(c2cc(F)c(-c3ccc(-c4cc(F)c(C#N)c(F)c4)c(C(F)(F)F)c3)c(F)c2)OC1,Song 2025
SCUT7a,FN,5,163.3,CCCC1COC(c2cc(F)c(-c3ccc(C#Cc4cc(F)c(C#N)c(F)c4)c(C(F)(F)F)c3)c(F)c2)OC1,Song 2025
SCUT22b,FN,5,106.9,CCCOCc1cc(F)c(C#Cc2cc(F)c(-c3cc(F)c(C#N)c(F)c3)c(F)c2)c(F)c1,Song 2025
SCUT22c,FN,5,80.5,CCCCOCc1cc(F)c(C#Cc2cc(F)c(-c3cc(F)c(C#N)c(F)c3)c(F)c2)c(F)c1,Song 2025
SCUT22d,FN,5,60.0,CCCCCOCc1cc(F)c(C#Cc2cc(F)c(-c3cc(F)c(C#N)c(F)c3)c(F)c2)c(F)c1,Song 2025
SCUT23a,N,2,113.0,CCCOCc1cc(F)c(-c2cc(F)c(C#Cc3cc(F)c(C#N)c(F)c3)c(F)c2)c(F)c1,Song 2025
M-0-0,FN,4,152.0,COc1ccc(C(=O)Oc2ccc(C(=O)Oc3ccc(-c4cc(F)c(C(F)(F)Oc5cc(F)c(F)c(F)c5)c(F)c4)cc3)cc2)c(OC)c1,Strachan 2025
M-0-1,FN,4,185.0,COc1ccc(C(=O)Oc2ccc(C(=O)Oc3ccc(-c4cc(F)c(C(F)(F)Oc5cc(F)c(F)c(F)c5)c(F)c4)c(F)c3)cc2)c(OC)c1,Strachan 2025
M-0-2,FN,4,220.0,COc1ccc(C(=O)Oc2ccc(C(=O)Oc3cc(F)c(-c4cc(F)c(C(F)(F)Oc5cc(F)c(F)c(F)c5)c(F)c4)c(F)c3)cc2)c(OC)c1,Strachan 2025
M-1-0,FN,5,156.0,COc1ccc(C(=O)Oc2ccc(C(=O)Oc3ccc(-c4ccc(C(F)(F)Oc5cc(F)c(F)c(F)c5)cc4)cc3)c(F)c2)c(OC)c1,Strachan 2025
M-1-1,FN,4,191.0,COc1ccc(C(=O)Oc2ccc(C(=O)Oc3ccc(-c4ccc(C(F)(F)Oc5cc(F)c(F)c(F)c5)cc4)c(F)c3)c(F)c2)c(OC)c1,Strachan 2025
M-1-2,FN,4,224.0,COc1ccc(C(=O)Oc2ccc(C(=O)Oc3cc(F)c(-c4ccc(C(F)(F)Oc5cc(F)c(F)c(F)c5)cc4)c(F)c3)c(F)c2)c(OC)c1,Strachan 2025
M-2-0,FN,5,155.0,COc1ccc(C(=O)Oc2cc(F)c(C(=O)Oc3ccc(-c4ccc(C(F)(F)Oc5cc(F)c(F)c(F)c5)cc4)cc3)c(F)c2)c(OC)c1,Strachan 2025
M-2-1,FN,4,185.0,COc1ccc(C(=O)Oc2cc(F)c(C(=O)Oc3ccc(-c4ccc(C(F)(F)Oc5cc(F)c(F)c(F)c5)cc4)c(F)c3)c(F)c2)c(OC)c1,Strachan 2025
M-2-2,FN,4,214.0,COc1ccc(C(=O)Oc2cc(F)c(C(=O)Oc3cc(F)c(-c4ccc(C(F)(F)Oc5cc(F)c(F)c(F)c5)cc4)c(F)c3)c(F)c2)c(OC)c1,Strachan 2025
Li-1a,N,2,87.0,CC1COC(c2cc(F)c(C(=O)Oc3ccc(-c4cc(F)c(F)c(F)c4)c([N+](=O)[O-])c3)c(F)c2)OC1,"Li, Giant 2022"
Li-1b,N,2,65.0,CCC1COC(c2cc(F)c(C(=O)Oc3ccc(-c4cc(F)c(F)c(F)c4)c([N+](=O)[O-])c3)c(F)c2)OC1,"Li, Giant 2022"
Li-1c,FN,4,66.0,CCCC1COC(c2cc(F)c(C(=O)Oc3ccc(-c4cc(F)c(F)c(F)c4)c([N+](=O)[O-])c3)c(F)c2)OC1,"Li, Giant 2022"
Li-2a,FN,4,119.0,CC1COC(c2cc(F)c(C(=O)Oc3ccc(-c4ccc([N+](=O)[O-])cc4)c(F)c3)c(F)c2)OC1,"Li, Giant 2022"
Li-3a,N,2,120.0,CC1COC(c2cc(F)c(C(=O)Oc3ccc(-c4ccc([N+](=O)[O-])cc4)c([N+](=O)[O-])c3)c(F)c2)OC1,"Li, Giant 2022"
Li-4a,N,2,226.0,CC1COC(c2cc(F)c(C(=O)Oc3cc(F)c(-c4cc(F)c(C#N)c(F)c4)c(F)c3)c(F)c2)OC1,"Li, Giant 2022"
Li-4b,FN,4,176.0,CCCC1COC(c2cc(F)c(C(=O)Oc3cc(F)c(-c4cc(F)c(C#N)c(F)c4)c(F)c3)c(F)c2)OC1,"Li, Giant 2022"
Li-4c,FN,4,104.0,CCCCCC1COC(c2cc(F)c(C(=O)Oc3cc(F)c(-c4cc(F)c(C#N)c(F)c4)c(F)c3)c(F)c2)OC1,"Li, Giant 2022"
Li-5a,N,2,91.0,CC1COC(c2cc(F)c(C(=O)Oc3ccc(-c4cc(F)c(C#N)c(F)c4)c(C(F)(F)F)c3)c(F)c2)OC1,"Li, Giant 2022"
Li-5b,FN,4,86.0,CCCC1COC(c2cc(F)c(C(=O)Oc3ccc(-c4cc(F)c(C#N)c(F)c4)c(C(F)(F)F)c3)c(F)c2)OC1,"Li, Giant 2022"
Li-5c,FN,4,55.0,CCCCCC1COC(c2cc(F)c(C(=O)Oc3ccc(-c4cc(F)c(C#N)c(F)c4)c(C(F)(F)F)c3)c(F)c2)OC1,"Li, Giant 2022"
Li-6b,FN,4,126.0,CCCC1COC(c2cc(F)c(C(=O)Oc3ccc(-c4cc(F)c(C#N)c(F)c4)c([N+](=O)[O-])c3)c(F)c2)OC1,"Li, Giant 2022"
Li-7,FN,4,96.0,CCCC1COC(c2cc(F)c(C(F)(F)Oc3ccc(-c4cc(F)c(C#N)c(F)c4)cc3)c(F)c2)OC1,"Li, Giant 2022"
Li-8,FN,4,138.0,CCCC1COC(c2cc(F)c(C(=O)Oc3cc(F)c(-c4cc(F)c(C(F)(F)F)c(F)c4)c(F)c3)c(F)c2)OC1,"Li, Giant 2022"
Li-9a,N,2,111.0,COc1ccc(C(=O)Oc2ccc(C(=O)Oc3cc(F)c(C#N)c(F)c3)c(F)c2)c(C(F)(F)F)c1,"Li, Giant 2022"
Li-9b,N,2,106.0,COc1ccc(C(=O)Oc2cc(F)c(C(=O)Oc3cc(F)c(C#N)c(F)c3)c(F)c2)c(C(F)(F)F)c1,"Li, Giant 2022"
Li-9c,FN,4,66.0,CCOc1ccc(C(=O)Oc2cc(F)c(C(=O)Oc3cc(F)c(C#N)c(F)c3)c(F)c2)c(C(F)(F)F)c1,"Li, Giant 2022"
Li-10a,N,2,101.0,COc1ccc(C(=O)Oc2ccc(C(=O)Oc3cc(F)c(C#N)c(F)c3)c(C(F)(F)F)c2)c(F)c1,"Li, Giant 2022"
Li-10b,N,2,120.0,COc1cc(F)c(C(=O)Oc2ccc(C(=O)Oc3cc(F)c(C#N)c(F)c3)c(C(F)(F)F)c2)c(F)c1,"Li, Giant 2022"
Li-11a,N,2,146.0,COc1ccc(C(=O)Oc2ccc(C(=O)Oc3cc(F)c(C#N)c(F)c3)c(OC)c2)cc1,"Li, Giant 2022"
Li-11b,N,2,159.0,COc1ccc(C(=O)Oc2ccc(C(=O)Oc3cc(F)c(C#N)c(F)c3)c(OC)c2)c(F)c1,"Li, Giant 2022"
Li-11c,N,2,161.0,COc1cc(F)c(C(=O)Oc2ccc(C(=O)Oc3cc(F)c(C#N)c(F)c3)c(OC)c2)c(F)c1,"Li, Giant 2022"
Li-12a,FN,4,143.0,COc1ccc(C(=O)Oc2ccc(C(=O)Oc3ccc(C#N)c(F)c3)c(F)c2)c(OC)c1,"Li, Giant 2022"
Li-12b,N,2,151.0,COc1ccc(C(=O)Oc2ccc(C(=O)Oc3cc(F)c(C#N)c(F)c3)c(F)c2)c(OC)c1,"Li, Giant 2022"
Li-12c,N,2,76.0,COc1ccc(C(=O)Oc2ccc(C(=O)Oc3cc(C)c(C#N)c(C)c3)c(F)c2)c(OC)c1,"Li, Giant 2022"
Li-13a,N,2,229.0,N#Cc1c(F)cc(OC(=O)c2ccc(OC(=O)c3c(F)cccc3F)cc2F)cc1F,"Li, Giant 2022"
Li-13b,N,2,200.0,COc1cc(F)c(C(=O)Oc2ccc(C(=O)Oc3cc(F)c(C#N)c(F)c3)c(F)c2)c(F)c1,"Li, Giant 2022"
Li-14,N,2,84.0,CCOc1cc(F)c(C(=O)Oc2ccc(C(=O)Oc3cc(F)c(C#N)c(F)c3)c(C(F)(F)F)c2)c(F)c1,"Li, Giant 2022"
Li-15,FN,4,156.0,CCOc1cc(F)c(C(=O)Oc2ccc(C(=O)Oc3ccc(C(=O)Oc4cc(F)c(C#N)c(F)c4)c(C(F)(F)F)c3)c(C(F)(F)F)c2)c(F)c1,"Li, Giant 2022"
Li-16,FN,4,95.0,CCCCc1cc(F)c(-c2cc(F)c(C(=O)Oc3cc(F)c(C#N)c(F)c3)c(F)c2)c(F)c1,"Li, Giant 2022"
Li-17a,N,2,107.0,COc1ccc(C(=O)Oc2ccc(C(=O)Oc3cc(F)c(C#N)c(F)c3)c(C)c2)c(OC)c1,"Li, Giant 2022"
Li-18,N,2,107.0,COc1ccc(C(=O)Oc2ccc(C(=O)Oc3cc(F)c(C#N)c(F)c3)c(OC)c2)c(OC)c1,"Li, Giant 2022"
Li-19,N,2,162.0,COc1ccc(C(=O)Oc2cc(F)c(C(=O)Oc3cc(F)c(C#N)c(F)c3)c(F)c2)c(OC)c1,"Li, Giant 2022"
Li-20,N,2,161.0,Cc1ccc(C(=O)Oc2ccc(C(=O)Oc3cc(F)c(F)c(F)c3)c(F)c2)c(F)c1,"Li, Giant 2022"
Li-21,N,2,229.0,Cc1ccc(C(=O)Oc2ccc(C(=O)Oc3cc(F)c([N+](=O)[O-])c(F)c3)c(F)c2)c(F)c1,"Li, Giant 2022"
Li-22,N,2,99.0,COc1ccc(C(=O)Oc2ccc(C(=O)Oc3ccc([N+](=O)[O-])cc3)c(OC)c2)c(OC)c1,"Li, Giant 2022"
Li-23,FN,4,71.0,COc1ccc(C(=O)Oc2cc(F)c(C(=O)Oc3ccc([N+](=O)[O-])cc3)c(F)c2)c(C(F)(F)F)c1,"Li, Giant 2022"
Li-24,N,2,181.0,O=C(Oc1ccc([N+](=O)[O-])cc1)c1ccc(OC(=O)c2c(F)cccc2F)cc1F,"Li, Giant 2022"
Li-25,FN,4,92.0,COc1cc(F)c(C(=O)Oc2ccc(C(=O)Oc3ccc([N+](=O)[O-])cc3)c(C(F)(F)F)c2)c(F)c1,"Li, Giant 2022"
Li-29,N,2,63.0,CCOc1cc(OC(=O)c2ccc(OC)cc2[N+](=O)[O-])ccc1C(=O)Oc1ccc([N+](=O)[O-])cc1,"Li, Giant 2022"
