family,perm_id,auprc_null,auroc_null
dipole_prop,1,0.47087266674093,0.6525905726529022
dipole_prop,2,0.4194496296728296,0.6076353720296066
dipole_prop,3,0.4167152282587287,0.5674328009349435
dipole_prop,4,0.3781979693872194,0.5549279314374757
dipole_prop,5,0.3452322434282056,0.48465134398130116
dipole_prop,6,0.3329477304168531,0.44433190494740943
dipole_prop,7,0.33689447440881387,0.403194390338917
dipole_prop,8,0.3248253927809653,0.45520062329567584
dipole_prop,9,0.32865891828940186,0.4664589014413712
dipole_prop,10,0.37743587070790385,0.5186988702765875
dipole_prop,11,0.38188141499242645,0.5370081807557461
dipole_prop,12,0.39064868844761147,0.5021425788858589
dipole_prop,13,0.3730715586306852,0.511024542267238
dipole_prop,14,0.33315397503708105,0.4582002337358784
dipole_prop,15,0.3952108068581728,0.5183093104791585
dipole_prop,16,0.34332491847872026,0.5091546552395794
dipole_prop,17,0.36794009230127467,0.46844565640825864
dipole_prop,18,0.3284195225447138,0.44756525126606933
dipole_prop,19,0.3882520221917138,0.5146864043630697
dipole_prop,20,0.3421072874145434,0.41051811453058046
sigma_profile,1,0.3465071507949623,0.4693416439423452
sigma_profile,2,0.36571465683439985,0.5336969224776003
sigma_profile,3,0.3844055786353946,0.5102454226723803
sigma_profile,4,0.3645224564235836,0.5369692247760031
sigma_profile,5,0.35979157590664357,0.5093883911180366
sigma_profile,6,0.4023847102563325,0.49964939618231397
sigma_profile,7,0.41427871944021266,0.5517724970783016
sigma_profile,8,0.3742957815959608,0.5186599142968445
sigma_profile,9,0.34241011549426914,0.47160109076743284
sigma_profile,10,0.3855820062404146,0.5158550837553564
sigma_profile,11,0.4115320602399712,0.5543046357615894
sigma_profile,12,0.3729649204771118,0.5068172964550057
sigma_profile,13,0.35529217704124855,0.48991040124659135
sigma_profile,14,0.34305204879589773,0.47760031164783795
sigma_profile,15,0.3921734611847387,0.5626801714063109
sigma_profile,16,0.40587022512393806,0.5647837943124271
sigma_profile,17,0.3336043880386932,0.4703155434359174
sigma_profile,18,0.35256546897738933,0.5056486170627191
sigma_profile,19,0.4247341920268493,0.5485001947798986
sigma_profile,20,0.3487116611758758,0.44947409427347096
graphmol_conf0,1,0.41000375116401466,0.561199844176081
graphmol_conf0,2,0.4602041008739849,0.6190105181145306
graphmol_conf0,3,0.3106253481541331,0.4164394234514998
graphmol_conf0,4,0.3641719303136993,0.48126217374366964
graphmol_conf0,5,0.31027765241053484,0.3601869887027659
graphmol_conf0,6,0.41385626221426863,0.5160888196338138
graphmol_conf0,7,0.3544096376700444,0.5026100506427735
graphmol_conf0,8,0.3826235826904426,0.5439813011297234
graphmol_conf0,9,0.35687022532604123,0.4833657966497858
graphmol_conf0,10,0.29201573276343973,0.3898714452668484
graphmol_conf0,11,0.4114265876422035,0.5118036618620958
graphmol_conf0,12,0.40193166896975024,0.5485781067393845
graphmol_conf0,13,0.33107116852674023,0.46427736657576946
graphmol_conf0,14,0.362995528208068,0.46832878846903003
graphmol_conf0,15,0.31984732271910826,0.4465134398130113
graphmol_conf0,16,0.3480678461316856,0.494663030775224
graphmol_conf0,17,0.3864343538363133,0.47658745617452275
graphmol_conf0,18,0.34583601020293,0.4666926373198286
graphmol_conf0,19,0.41876968637853895,0.5734320218153487
graphmol_conf0,20,0.3666408717317955,0.5040124659135177
graphmol_boltzmann,1,0.4581741886115065,0.5989871445266848
graphmol_boltzmann,2,0.4037672736992831,0.5587066614725361
graphmol_boltzmann,3,0.32156619647835094,0.43443708609271525
graphmol_boltzmann,4,0.36491189004610136,0.5189715621347877
graphmol_boltzmann,5,0.338285147475663,0.4084924035839501
graphmol_boltzmann,6,0.4192989119179301,0.5256719906505648
graphmol_boltzmann,7,0.34970806987743613,0.48702765874561743
graphmol_boltzmann,8,0.371199542819174,0.5038566419945462
graphmol_boltzmann,9,0.35430626039855173,0.4924814959096221
graphmol_boltzmann,10,0.29901108987217717,0.40381768601480333
graphmol_boltzmann,11,0.34133176594778913,0.47970393455395405
graphmol_boltzmann,12,0.3715986745931904,0.4832099727308142
graphmol_boltzmann,13,0.34717815916821976,0.47019867549668876
graphmol_boltzmann,14,0.392220907124875,0.4776003116478379
graphmol_boltzmann,15,0.3380681219789702,0.46014803272302296
graphmol_boltzmann,16,0.33630193304626455,0.4801714063108688
graphmol_boltzmann,17,0.353388189330979,0.41488118426178416
graphmol_boltzmann,18,0.3614962783001554,0.5072068562524348
graphmol_boltzmann,19,0.3520210249853387,0.4818854694195559
graphmol_boltzmann,20,0.36977868286880944,0.49629918192442546
graphmol_dipole,1,0.4636747731845887,0.5993767043241138
graphmol_dipole,2,0.40144497119957323,0.5553564472146474
graphmol_dipole,3,0.3530690864107493,0.45991429684456564
graphmol_dipole,4,0.3851744718858428,0.5304246201791976
graphmol_dipole,5,0.35218457158853667,0.43778730035060376
graphmol_dipole,6,0.40945579022017287,0.5059602649006623
graphmol_dipole,7,0.3358212349620535,0.472613946240748
graphmol_dipole,8,0.38788292749784115,0.5199065056486172
graphmol_dipole,9,0.34331862367072263,0.46155044799376704
graphmol_dipole,10,0.3017388799452852,0.4031943903389171
graphmol_dipole,11,0.3667920052123465,0.5026100506427736
graphmol_dipole,12,0.3620667962024732,0.48546941955590184
graphmol_dipole,13,0.3538253191572129,0.4705103233346319
graphmol_dipole,14,0.382329532566251,0.47082197117257496
graphmol_dipole,15,0.3518682600572801,0.47604207245812236
graphmol_dipole,16,0.34806641333483856,0.4988702765874562
graphmol_dipole,17,0.35684254609557103,0.41604986365407093
graphmol_dipole,18,0.3626601723148881,0.5040124659135177
graphmol_dipole,19,0.3549347483697615,0.48274250097389954
graphmol_dipole,20,0.3697522227700437,0.5058823529411764
